Username,Date,Time,Tweet ID,Tweet
marimari 🪐☄️,2023-05-26,20:46:57,1662198659570606085,"RT @911Literatura: faculdade de biblioteconomia é tipo ""mds preciso organizar todos esses livros por cor, tamanho e nome do autor até terça…"
Kai⁷ | 📖: beyond the storm,2023-05-26,20:37:25,1662196262504919042,"RT @maritrbl: faculdade de biblioteconomia é tipo ""mds eu preciso guardar todos os livros nas estantes e mandar todo mundo ficar quieto até…"
Sté,2023-05-26,20:00:28,1662186961996529664,"Não ironicamente eu amaria estudar biblioteconomia, inclusive cogitei por uns momentos antes de decidir por Jornalismo https://t.co/vgCLEByab8"
clara,2023-05-26,19:15:55,1662175751729233941,"RT @maritrbl: faculdade de biblioteconomia é tipo ""mds eu preciso guardar todos os livros nas estantes e mandar todo mundo ficar quieto até…"
𝐊𝐚𝐫𝐢𝐧𝐲🌷,2023-05-26,19:03:20,1662172586682269726,"RT @maritrbl: faculdade de biblioteconomia é tipo ""mds eu preciso guardar todos os livros nas estantes e mandar todo mundo ficar quieto até…"
Vanessa,2023-05-26,18:49:43,1662169157121474567,RT @kaleumo: faculdade de biblioteconomia é tipo mds tenho que fazer 🤫 pra 5 pessoas até sexta
ᴍɪᴋᴀ ᴪ,2023-05-26,18:41:31,1662167094362767391,"RT @maritrbl: faculdade de biblioteconomia é tipo ""mds eu preciso guardar todos os livros nas estantes e mandar todo mundo ficar quieto até…"
mari 🌹,2023-05-26,17:52:00,1662154634025115648,"faculdade de biblioteconomia é tipo ""mds eu preciso guardar todos os livros nas estantes e mandar todo mundo ficar quieto até meio dia"" https://t.co/jvvtHhyOb8 https://t.co/mTrFYba2EP"
sartresa,2023-05-26,17:25:22,1662147929744764928,@teledramatica quase fui nesse qndo tava fazendo biblioteconomia na ufrj ano retrasado mas tranquei e nunca mais voltei graças aos conselhos da sua mãe macu
Corra Lolla © corra na CPMI ☭🐰✨️,2023-05-26,17:25:12,1662147889538252813,@ej_ev3 Sou auxiliar de enfermagem e estudo biblioteconomia.
ester,2023-05-26,17:21:37,1662146985888038941,"RT @911Literatura: faculdade de biblioteconomia é tipo ""mds preciso organizar todos esses livros por cor, tamanho e nome do autor até terça…"
